Symbol,Strategy,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Position_Size,Return_%,PnL,Side,Duration_Hours
SPY,Momentum Scalping,2025-07-11 11:10:00-04:00,2025-07-11 11:15:00-04:00,622.83,623.22,1,-0.06261740763933155,-5.0793406757893536,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-11 11:40:00-04:00,2025-07-11 11:45:00-04:00,624.41,623.99,1,-0.06726349674092136,-26.751422126673788,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-14 09:30:00-04:00,2025-07-14 09:35:00-04:00,622.78,623.02,1,-0.03853688300845537,-9.836071093312057,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-15 09:30:00-04:00,2025-07-15 09:35:00-04:00,626.91,626.51,1,-0.06380501188367749,-16.110768564039972,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-15 12:55:00-04:00,2025-07-15 13:00:00-04:00,623.22,623.5,1,-0.04492795481529921,-8.771107077136548,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-15 14:55:00-04:00,2025-07-15 15:00:00-04:00,623.28,623.6,1,-0.05134129123347542,-7.792199198785966,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-15 15:55:00-04:00,2025-07-16 09:30:00-04:00,622.13,623.53,1,-0.2250333531576887,18.738079271266542,long,17.583333333333332
SPY,Momentum Scalping,2025-07-16 11:15:00-04:00,2025-07-16 11:25:00-04:00,620.24,621.32,1,-0.17412614471818966,4.696755564892555,long,0.16666666666666666
SPY,Momentum Scalping,2025-07-16 11:30:00-04:00,2025-07-16 11:40:00-04:00,619.37,620.41,1,-0.1679125563072148,3.53965924500244,long,0.16666666666666666
SPY,Momentum Scalping,2025-07-16 11:55:00-04:00,2025-07-16 12:00:00-04:00,621.96,621.6,1,-0.05788153579008304,-7.283309237570393,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-17 11:05:00-04:00,2025-07-17 11:10:00-04:00,626.43,626.33,1,-0.01596347556788169,-16.333296143702682,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-21 09:30:00-04:00,2025-07-21 09:35:00-04:00,629.1,629.33,1,0.03656016531552453,-8.689399612874695,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-21 09:45:00-04:00,2025-07-21 09:50:00-04:00,630.09,630.32,1,0.03650272183339798,-8.429798363000373,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-21 15:05:00-04:00,2025-07-21 15:10:00-04:00,629.64,629.58,1,0.009529254812268295,-17.508961629251644,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-22 09:50:00-04:00,2025-07-22 09:55:00-04:00,626.53,626.88,1,-0.055863246771914454,-5.04030235472419,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-22 13:25:00-04:00,2025-07-22 13:30:00-04:00,629.05,629.0,1,-0.007948493760423503,-17.265113997058506,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-23 09:30:00-04:00,2025-07-23 09:35:00-04:00,631.11,631.32,1,0.033274706469565984,-6.1648617844621185,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-23 13:40:00-04:00,2025-07-23 13:45:00-04:00,632.73,632.76,1,0.004741358873450174,-15.229989667586779,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-23 15:55:00-04:00,2025-07-24 09:35:00-04:00,634.15,634.25,1,0.015769139793420095,-13.464510720421458,long,17.666666666666668
SPY,Momentum Scalping,2025-07-24 13:10:00-04:00,2025-07-24 13:15:00-04:00,635.84,635.78,1,-0.009436336185209004,-17.483735160429205,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-24 15:55:00-04:00,2025-07-25 09:30:00-04:00,634.43,635.25,1,-0.12924987784310726,4.651204730236714,long,17.583333333333332
SPY,Volume Momentum,2025-06-10 14:55:00-04:00,2025-06-10 15:10:00-04:00,602.4,602.9,1,0.08300132802125937,-1.1945226088655545,long,0.25
SPY,Volume Momentum,2025-06-10 15:15:00-04:00,2025-06-10 15:20:00-04:00,602.63,602.78,1,0.024890894910645223,-5.253695410217006,long,0.08333333333333333
SPY,Volume Momentum,2025-06-10 15:50:00-04:00,2025-06-10 15:55:00-04:00,602.36,603.05,1,-0.11454943887374558,1.0092265635475997,long,0.08333333333333333
SPY,Volume Momentum,2025-06-11 12:05:00-04:00,2025-06-11 12:10:00-04:00,603.01,602.79,1,0.03648364040397256,-9.54038030522861,long,0.08333333333333333
SPY,Volume Momentum,2025-06-11 12:20:00-04:00,2025-06-11 12:25:00-04:00,602.56,603.22,1,-0.10953266064792633,0.658973712520492,long,0.08333333333333333
SPY,Volume Momentum,2025-06-11 13:55:00-04:00,2025-06-11 14:35:00-04:00,602.51,601.64,1,0.1443959436357889,-17.08196517934266,long,0.6666666666666666
SPY,Volume Momentum,2025-06-13 09:30:00-04:00,2025-06-13 09:40:00-04:00,599.8,599.68,1,0.02000666888962721,-8.393401878116492,long,0.16666666666666666
SPY,Volume Momentum,2025-06-13 13:40:00-04:00,2025-06-13 13:45:00-04:00,599.43,599.34,1,0.015014263550361395,-8.045755967827063,long,0.08333333333333333
SPY,Volume Momentum,2025-06-13 14:20:00-04:00,2025-06-13 14:50:00-04:00,598.11,597.08,1,0.1722091254117042,-19.03553050822393,long,0.5
SPY,Volume Momentum,2025-06-13 15:45:00-04:00,2025-06-13 15:55:00-04:00,596.33,596.97,1,-0.1073231264568264,0.5050504975451986,long,0.16666666666666666
SPY,Volume Momentum,2025-06-16 09:30:00-04:00,2025-06-16 09:35:00-04:00,601.53,601.49,1,-0.006649709906403345,-7.464674799101886,long,0.08333333333333333
SPY,Volume Momentum,2025-06-16 09:50:00-04:00,2025-06-16 09:55:00-04:00,602.79,603.05,1,0.043132765971565235,-3.9829689013913594,long,0.08333333333333333
SPY,Volume Momentum,2025-06-17 12:55:00-04:00,2025-06-17 13:05:00-04:00,599.78,600.0,1,-0.03668011604256449,-4.433630446941606,long,0.16666666666666666
SPY,Volume Momentum,2025-06-17 13:25:00-04:00,2025-06-17 13:30:00-04:00,599.0,599.59,1,-0.09849749582637735,-0.1120493309917947,long,0.08333333333333333
SPY,Volume Momentum,2025-06-17 13:45:00-04:00,2025-06-17 13:55:00-04:00,598.12,598.02,1,0.016719053032843156,-8.16822853602207,long,0.16666666666666666
SPY,Volume Momentum,2025-06-17 14:00:00-04:00,2025-06-17 14:05:00-04:00,597.41,597.94,1,-0.0887162919937845,-0.7960992248863477,long,0.08333333333333333
SPY,Volume Momentum,2025-06-18 15:00:00-04:00,2025-06-18 15:15:00-04:00,598.04,598.25,1,-0.03511470804629102,-4.544950952542422,long,0.25
SPY,Volume Momentum,2025-06-18 15:25:00-04:00,2025-06-18 15:30:00-04:00,596.92,597.82,1,-0.15077397306173523,3.5444400864407726,long,0.08333333333333333
SPY,Volume Momentum,2025-06-20 10:40:00-04:00,2025-06-20 10:45:00-04:00,595.28,594.88,1,0.06719526945302423,-11.702063690939212,long,0.08333333333333333
SPY,Volume Momentum,2025-06-20 13:30:00-04:00,2025-06-20 13:45:00-04:00,593.49,593.5,1,-0.0016849483563285972,-6.885280270308613,long,0.25
SPY,Volume Momentum,2025-06-20 15:00:00-04:00,2025-06-20 15:05:00-04:00,593.67,593.64,1,0.005053312446301472,-7.357719943859593,long,0.08333333333333333
SPY,Volume Momentum,2025-06-23 12:00:00-04:00,2025-06-23 12:05:00-04:00,595.95,595.64,1,0.05201778672708768,-10.645411033232449,long,0.08333333333333333
SPY,Volume Momentum,2025-06-23 12:25:00-04:00,2025-06-23 12:40:00-04:00,594.31,594.65,1,-0.05720920058556178,-3.002090784639222,long,0.25
SPY,Volume Momentum,2025-06-23 12:55:00-04:00,2025-06-23 13:00:00-04:00,593.58,594.76,1,-0.1987937598975531,6.908619944442762,long,0.08333333333333333
SPY,Volume Momentum,2025-06-23 13:25:00-04:00,2025-06-23 13:35:00-04:00,597.71,598.92,1,0.20243931003327553,7.163817847801511,long,0.16666666666666666
SPY,Volume Momentum,2025-06-24 09:30:00-04:00,2025-06-24 09:35:00-04:00,604.39,604.93,1,0.08934628302916803,-0.7527760593620769,long,0.08333333333333333
SPY,Volume Momentum,2025-06-24 12:40:00-04:00,2025-06-24 12:45:00-04:00,607.13,606.78,1,-0.05764827961063368,-11.041661449784442,long,0.08333333333333333
SPY,Volume Momentum,2025-06-25 09:50:00-04:00,2025-06-25 09:55:00-04:00,607.78,608.16,1,0.06252262331765124,-2.6297768447302587,long,0.08333333333333333
SPY,Volume Momentum,2025-06-26 09:35:00-04:00,2025-06-26 09:40:00-04:00,609.11,609.27,1,0.026267833396254048,-5.166491396377751,long,0.08333333333333333
SPY,Volume Momentum,2025-06-26 09:45:00-04:00,2025-06-26 09:50:00-04:00,608.74,608.79,1,0.008213687288494143,-6.429068186956101,long,0.08333333333333333
SPY,Volume Momentum,2025-06-26 10:30:00-04:00,2025-06-26 10:35:00-04:00,610.39,610.25,1,-0.022936155572661487,-8.607392119373799,long,0.08333333333333333
SPY,Volume Momentum,2025-06-27 13:45:00-04:00,2025-06-27 14:05:00-04:00,613.93,614.04,1,-0.017917352141116893,-5.748458977554037,long,0.3333333333333333
SPY,Volume Momentum,2025-06-27 14:15:00-04:00,2025-06-27 15:00:00-04:00,613.07,611.72,1,0.22020323943432452,-22.407197664881096,long,0.75
SPY,Volume Momentum,2025-06-27 15:50:00-04:00,2025-06-30 09:35:00-04:00,614.22,616.75,1,0.41190452932173827,21.819052628882673,long,65.75
SPY,Volume Momentum,2025-06-30 15:05:00-04:00,2025-06-30 15:45:00-04:00,617.18,618.33,1,0.1863313782040965,6.035074824784715,long,0.6666666666666666
SPY,Volume Momentum,2025-06-30 15:50:00-04:00,2025-06-30 15:55:00-04:00,619.05,617.84,1,-0.19546078668927214,-20.68524118032201,long,0.08333333333333333
SPY,Volume Momentum,2025-07-03 09:30:00-04:00,2025-07-03 09:40:00-04:00,623.34,623.46,1,0.019251131003938937,-5.656763929632689,long,0.16666666666666666
SPY,Volume Momentum,2025-07-03 09:50:00-04:00,2025-07-03 09:55:00-04:00,624.39,624.07,1,-0.05125002001953316,-10.588182911383228,long,0.08333333333333333
SPY,Volume Momentum,2025-07-07 09:30:00-04:00,2025-07-07 09:35:00-04:00,623.23,623.32,1,-0.014440896619238863,-5.991511545191315,long,0.08333333333333333
SPY,Volume Momentum,2025-07-07 14:25:00-04:00,2025-07-07 14:30:00-04:00,617.99,618.45,1,-0.07443486140552569,-1.7954116213850284,long,0.08333333333333333
SPY,Volume Momentum,2025-07-07 14:35:00-04:00,2025-07-07 14:40:00-04:00,618.86,619.48,1,-0.10018420967585762,0.005884401833100128,long,0.08333333333333333
SPY,Volume Momentum,2025-07-08 13:15:00-04:00,2025-07-08 13:20:00-04:00,620.28,620.64,1,-0.05803830528148257,-2.9428967396079315,long,0.08333333333333333
SPY,Volume Momentum,2025-07-09 09:30:00-04:00,2025-07-09 09:35:00-04:00,623.52,623.83,1,0.04971773158841675,-3.525404325652744,long,0.08333333333333333
SPY,Volume Momentum,2025-07-09 09:45:00-04:00,2025-07-09 09:50:00-04:00,624.54,624.44,1,-0.01601178467350861,-8.123840144807218,long,0.08333333333333333
SPY,Volume Momentum,2025-07-09 10:30:00-04:00,2025-07-09 10:35:00-04:00,622.56,622.57,1,-0.0016062708815489657,-6.890141058444897,long,0.08333333333333333
SPY,Volume Momentum,2025-07-11 09:30:00-04:00,2025-07-11 09:35:00-04:00,622.63,622.27,1,0.05781925059826776,-11.048789246586239,long,0.08333333333333333
SPY,Volume Momentum,2025-07-14 09:30:00-04:00,2025-07-14 09:35:00-04:00,622.78,623.02,1,-0.03853688300845537,-4.308032015840581,long,0.08333333333333333
SPY,Volume Momentum,2025-07-15 09:35:00-04:00,2025-07-15 09:45:00-04:00,626.51,625.96,1,-0.08778790442290907,-13.149393297255301,long,0.16666666666666666
SPY,Volume Momentum,2025-07-15 13:15:00-04:00,2025-07-15 13:20:00-04:00,623.48,623.73,1,-0.04009751716174126,-4.1984522980301335,long,0.08333333333333333
SPY,Volume Momentum,2025-07-15 15:00:00-04:00,2025-07-15 15:05:00-04:00,623.6,623.47,1,0.020846696600385073,-8.463738173921229,long,0.08333333333333333
SPY,Volume Momentum,2025-07-15 15:15:00-04:00,2025-07-15 15:20:00-04:00,623.66,623.5,1,0.02565500432927248,-8.80157779352703,long,0.08333333333333333
SPY,Volume Momentum,2025-07-16 11:30:00-04:00,2025-07-16 11:45:00-04:00,619.37,620.55,1,-0.19051616965626295,6.329203397023775,long,0.25
SPY,Volume Momentum,2025-07-16 14:55:00-04:00,2025-07-16 15:00:00-04:00,624.35,624.08,1,-0.04324497477375955,-10.034347623804933,long,0.08333333333333333
SPY,Volume Momentum,2025-07-18 12:30:00-04:00,2025-07-18 12:40:00-04:00,626.73,627.16,1,-0.068610087278409,-2.2039682649383394,long,0.16666666666666666
SPY,Volume Momentum,2025-07-21 09:45:00-04:00,2025-07-21 09:50:00-04:00,630.09,630.32,1,0.03650272183339798,-4.451553881786822,long,0.08333333333333333
SPY,Volume Momentum,2025-07-21 10:00:00-04:00,2025-07-21 10:05:00-04:00,630.88,630.58,1,-0.04755262490488965,-10.333899172060228,long,0.08333333333333333
SPY,Volume Momentum,2025-07-21 15:00:00-04:00,2025-07-21 15:30:00-04:00,630.12,629.36,1,0.12061194693073762,-15.444491629166805,long,0.5
SPY,Volume Momentum,2025-07-21 15:55:00-04:00,2025-07-22 09:35:00-04:00,628.74,629.1,1,-0.05725737188664315,-2.9986240565376647,long,17.666666666666668
SPY,Volume Momentum,2025-07-22 09:50:00-04:00,2025-07-22 10:00:00-04:00,626.53,626.63,1,-0.01596092764912793,-5.889609555650168,long,0.16666666666666666
SPY,Volume Momentum,2025-07-22 13:30:00-04:00,2025-07-22 13:35:00-04:00,629.0,628.87,1,-0.0206677265500832,-8.454645716720734,long,0.08333333333333333
SPY,Volume Momentum,2025-07-22 13:40:00-04:00,2025-07-22 13:45:00-04:00,628.62,628.52,1,-0.01590786166524305,-8.120166663406962,long,0.08333333333333333
SPY,Volume Momentum,2025-07-23 09:35:00-04:00,2025-07-23 09:40:00-04:00,631.32,630.76,1,-0.0887030349109863,-13.21358844923634,long,0.08333333333333333
SPY,Volume Momentum,2025-07-23 12:00:00-04:00,2025-07-23 12:05:00-04:00,632.52,632.35,1,-0.026876620502114257,-8.884807434755203,long,0.08333333333333333
SPY,Volume Momentum,2025-07-24 12:25:00-04:00,2025-07-24 12:30:00-04:00,634.57,634.6,1,-0.004727610823063166,-6.6723394244263545,long,0.08333333333333333
